ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
161	hl/l̥ a ᴮ/¹¹	158	1894	leaf	ProtoKaren	*hlaᴮ	hl/l̥ a ᴮ/¹¹	*hlaᴮ		
162	s.w a.ʔ/ʔ̚ ᴰ/⁵¹	159	1907	leech (land~)	ProtoKaren	*s-waɁᴰ	s.w a.ʔ/ʔ̚ ᴰ/⁵¹	*s-waɁᴰ		
163	k|s/k Ø/ə Ø/⁰ + l ei ᴬ/⁵⁵	160	1922 1921	leech (water~)	ProtoKaren	*k|s-lejᴬ	k|s/k Ø/ə Ø/⁰ + l ei ᴬ/⁵⁵	*k/s-lejᴬ		
164	c e ᴮ/¹¹	161	1934	left (side)	ProtoKaren	*ceᴮ	c e ᴮ/¹¹	*ceᴮ		
165	kʰ a.ŋ ᴮ/¹¹	162	1947	leg	ProtoKaren	*khaŋᴮ	kʰ a.ŋ ᴮ/¹¹	*khaŋᴮ		
166	p.l e.ʔ/ʔ̚ ᴰ/⁵¹	163	9	lemur (flying~), flying squirrel	ProtoKaren	*pleɁᴰ	p.l e.ʔ/ʔ̚ ᴰ/⁵¹	*pleɁᴰ/bleɁᴰ		
167	b.l e.ʔ ᴰ/⁵¹	163	1959	lemur (flying~), flying squirrel	ProtoKaren	bleɁᴰ	b.l e.ʔ ᴰ/⁵¹	*pleɁᴰ/bleɁᴰ		
168	hl/l̥ ai ᴮ/¹¹	164	1971	lick (v.)	ProtoKaren	*hlajᴮ	hl/l̥ ai ᴮ/¹¹	*hlajᴮ		
169	hm/m̥ ei ᴬ/⁵⁵	165	1981	lie down, sleep	ProtoKaren	*hmejᴬ	hm/m̥ ei ᴬ/⁵⁵	*hmejᴬ	sleep	
170	pʰ.w i ᴬ/⁵⁵	166	1993	light (~weight)	ProtoKaren	*phwiᴬ	pʰ.w i ᴬ/⁵⁵	*phwiᴬ		
171	tʰ a ᴬ/⁵⁵	167	2005	linear measure of about 8-9 inches (a span)	ProtoKaren	*thaᴬ	tʰ a ᴬ/⁵⁵	*thaᴬ		
172	b.l a ᴮ/¹¹	168	46	linear measure of about half a yard (closed-hand)	ProtoKaren	*blaᴮ	b.l a ᴮ/¹¹	*blaᴮ	arrow	
173	d ɨ.m ᴬ/⁵⁵	169	2025	linear measure of about half a yard (open-hand)	ProtoKaren	*dɨmᴬ	d ɨ.m ᴬ/⁵⁵	*dɨmᴬ		
174	kʰ.l ɛ.ɴ ᴬ/⁵⁵	170	2036	linear measure of about two yards	ProtoKaren	*khlɛNᴬ	kʰ.l ɛ.ɴ ᴬ/⁵⁵	*khlɛNᴬ		
175	hn/n̥ a ᴮ/¹¹	171	2046	listen to	ProtoKaren	*-hnaᴮ	hn/n̥ a ᴮ/¹¹	*-hnaᴮ	ear-listen	
176	ʔ ɔ.ɴ ᴮ/¹¹	172	2059	live, stay	ProtoKaren	*ɁɔNᴮ	ʔ ɔ.ɴ ᴮ/¹¹	*ɁɔNᴮ	live-exist	
177	s.w ɨ.n ᴮ/¹¹	173	2072	liver	ProtoKaren	*swɨnᴮ	s.w ɨ.n ᴮ/¹¹	*swɨnᴮ		
178	ŋ.j a.ʔ/ʔ̚ ᴰ/⁵¹	174	2098	long (of time)	ProtoKaren	*ŋjaɁᴰ	ŋ.j a.ʔ/ʔ̚ ᴰ/⁵¹	*ŋjaɁᴰ		
179	tʰ au ᴬ/⁵⁵	175	2086	long (of length), tall, high	ProtoKaren	*thawᴬ	tʰ au ᴬ/⁵⁵	*thawᴬ		
180	p ə ᴮ/¹¹	176	2111	look after (things)	ProtoKaren	*pəᴮ	p ə ᴮ/¹¹	*pəᴮ		
181	k Ø/ə Ø/⁰ + cʰ Ø/ə.ŋ/ŋ ᴬ/⁵⁵	177	2121 2120	loris	ProtoKaren	*k-chNᴬ	k Ø/ə Ø/⁰ + cʰ Ø/ə.ŋ/ŋ ᴬ/⁵⁵	*k-ch( )Nᴬ		
182	cʰ.j a.ɴ ᴬ/⁵⁵ + g.r a ᴮ/¹¹	178	579 1829	louse (chicken~), insect	ProtoKaren	*graᴮ	cʰ.j a.ɴ ᴬ/⁵⁵ + g.r a ᴮ/¹¹	*(chjaNᴬ)graᴮ	chicken insect	
183	s.w ɨ.ɴ ᴮ/¹¹	179	2153	louse (head~)	ProtoKaren	*swɨNᴮ	s.w ɨ.ɴ ᴮ/¹¹	*swɨNᴮ	louse	
184	p Ø/ə Ø/⁰ + s o ᴮ/¹¹	180	2167 2166	lung	ProtoKaren	*p-soᴮ	p Ø/ə Ø/⁰ + s o ᴮ/¹¹	*p-soᴮ		
185	hl/l̥ o.ŋ ᴮ/¹¹	181	2180	maggot	ProtoKaren	*hloŋᴮ	hl/l̥ o.ŋ ᴮ/¹¹	*hloŋᴮ		
186	pʰ a ᴬ/⁵⁵	182	2193	male (of animals), father	ProtoKaren	*phaᴬ	pʰ a ᴬ/⁵⁵	*phaᴬ		
187	kʰ.w !a/au ᴬ/⁵⁵	183	2205	man, male	ProtoKaren	*khwaᴬ	kʰ.w !a/au ᴬ/⁵⁵	*khwaᴬ		
188	kʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	184	2219	mango	ProtoKaren	*khɔɁᴰ	kʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	*khɔɁᴰ		
189	ʔ a ᴬ/⁵⁵	185	2230	many, much	ProtoKaren	*Ɂaᴬ	ʔ a ᴬ/⁵⁵	*Ɂaᴬ		
190	kʰ.l ɔ ᴮ/¹¹	186	2243	mat	ProtoKaren	*khlɔᴮ	kʰ.l ɔ ᴮ/¹¹	*khlɔᴮ		
192	k|s/k Ø/ə Ø/⁰ + w ɛi ᴬᴮ/⁵⁵	187	2254 2255	milipede	ProtoKaren	*k|s-wɛjᴬ|ᴮ	k|s/k Ø/ə Ø/⁰ + w ɛi ᴬᴮ/⁵⁵	*k/s-wɛjᴬ/ᴮ		
194	w i ᴬ/⁵⁵	188	2279	mole	ProtoKaren	*wiᴬ	w i ᴬ/⁵⁵	*(jowᴮ)wiᴬ	mole	
195	hr/r̥ u.n ᴬ/⁵⁵	189	2294	money	ProtoKaren	*hrunᴬ	hr/r̥ u.n ᴬ/⁵⁵	*hrunᴬ		
196	!kʰw/kʰ o.ʔ/ʔ̚ ᴰ/⁵¹	190	2302	monitor lizard (land~)	ProtoKaren	*khwoɁᴰ	!kʰw/kʰ o.ʔ/ʔ̚ ᴰ/⁵¹	*khwoɁᴰ		
197	t.r e ᴬ/⁵⁵	191	2311	monitor lizard (water~)	ProtoKaren	*treᴬ	t.r e ᴬ/⁵⁵	*treᴬ		
198	j o.ʔ/ʔ̚ ᴰ/⁵¹	192	2320	monkey	ProtoKaren	*joɁᴰ	j o.ʔ/ʔ̚ ᴰ/⁵¹	*joɁᴰ		
199	ˀl a ᴬ/⁵⁵	193	2328	moon, month	ProtoKaren	*Ɂlaᴬ	ˀl a ᴬ/⁵⁵	*Ɂlaᴬ		
200	m ə ᴮ/¹¹	194	2341	mother, female (of animals)	ProtoKaren	*məᴮ	m ə ᴮ/¹¹	*məᴮ		
201	j ou ᴮ/¹¹	195	2349	mouse, rat	ProtoKaren	*jowᴮ	j ou ᴮ/¹¹	*jowᴮ	muroid	
202	s Ø/ə Ø/⁰ + r a.ɴ ᴮ/¹¹	196	2363 2362	mynah	ProtoKaren	*s-raNᴮ	s Ø/ə Ø/⁰ + r a.ɴ ᴮ/¹¹	*s-raNᴮ		
203	hm/m̥ ei ᴮ/¹¹	197	2372	nail	ProtoKaren	*hmejᴮ	hm/m̥ ei ᴮ/¹¹	*hmejᴮ		
204	m i.n ᴬ/⁵⁵	198	2388	name	ProtoKaren	*minᴬ	m i.n ᴬ/⁵⁵	*minᴬ		
205	ʔ.j ɛ.n ᴮ/¹¹	199	2401	narrow	ProtoKaren	*Ɂjɛnᴮ	ʔ.j ɛ.n ᴮ/¹¹	*Ɂjɛnᴮ		
206	ˀd e ᴬ/⁵⁵	200	2413	navel, umbilical cord	ProtoKaren	*Ɂdeᴬ	ˀd e ᴬ/⁵⁵	*Ɂdeᴬ	navel	
207	ˀb ɔ ᴬ/⁵⁵ + b o.ʔ/ʔ̚ ²	201	2429 2	neck, cheek	ProtoKaren	*Ɂbɔᴬ_*boɁ²	ˀb ɔ ᴬ/⁵⁵ + b o.ʔ/ʔ̚ ²	*Ɂbɔᴬ *boɁ²	neck ?	
208	s a.ɴ ᴬ/⁵⁵	202	2442	new	ProtoKaren	*saNᴬ	s a.ɴ ᴬ/⁵⁵	*saNᴬ		!borrowing
209	n e ᴮ/¹¹	204	2468	obtain, receive, take, get	ProtoKaren	*neᴮ	n e ᴮ/¹¹	*neᴮ		
210	b.r a ᴮ/¹¹	205	2480	old (of humans)	ProtoKaren	*braᴮ	b.r a ᴮ/¹¹	*braᴮ		
211	l ei ᴬ/⁵⁵ + l a.ɴ ¹	206	2493 2495	old (of things)	ProtoKaren	*lejᴬ_*laN¹	l ei ᴬ/⁵⁵ + l a.ɴ ¹	*lejᴬ *laN¹		
212	t Ø/ə.Ø/ʔ̚ Ø/⁰ + l a.Ø/ʔ̚ ᵀ/³³	207	2505 2506	one	ProtoKaren	*t-laᵀ	t Ø/ə.Ø/ʔ̚ Ø/⁰ + l a.Ø/ʔ̚ ᵀ/³³	*t-laᵀ		poly-syllabic change
213	ʔ a.ɴ ᴬ/⁵⁵	208	2520	open (the mouth)	ProtoKaren	*ɁaNᴬ	ʔ a.ɴ ᴬ/⁵⁵	*ɁaNᴬ		
214	b o ᴮ/¹¹	209	2531	ox, bull, cow	ProtoKaren	*boᴮ	b o ᴮ/¹¹	*boᴮ		
215	ɲ a ᴬ/⁵⁵	210	2540	palm (of the hand)	ProtoKaren	*ɲaᴬ	ɲ a ᴬ/⁵⁵	*ɲaᴬ		
216	j o ᴬ/⁵⁵	211	2547	pangolin, anteater	ProtoKaren	*joᴬ	j o ᴬ/⁵⁵	*joᴬ		
217	k i ᴮ/¹¹	212	2559	parrot, parakeet	ProtoKaren	*kiᴮ	k i ᴮ/¹¹	*(thoᴮ)kiᴮ		
218	!g/k.l ɛ ᴬ/⁵⁵	213	2570	path, trail, way	ProtoKaren	*glɛᴬ	!g/k.l ɛ ᴬ/⁵⁵	*glɛᴬ		
219	b.r a.ʔ/ʔ̚ ᴰ/⁵¹	214	2579	peacock	ProtoKaren	*braɁᴰ	b.r a.ʔ/ʔ̚ ᴰ/⁵¹	*(thoᴮ)braɁᴰ		
220	k Ø/ə Ø/⁰ + b ɔ.ŋ ᴬ/⁵⁵	215	2591 2590	pen, coop	ProtoKaren	*k-bɔŋᴬ	k Ø/ə Ø/⁰ + b ɔ.ŋ ᴬ/⁵⁵	*k-bɔŋᴬ		
221	!t/tʰ e ᴮ/¹¹	216	2604	penis	ProtoKaren	*teᴮ	!t/tʰ e ᴮ/¹¹	*teᴮ		
222	r e.ʔ/ʔ̚ ᴰ/⁵¹	217	2616	pheasant	ProtoKaren	*reɁᴰ	r e.ʔ/ʔ̚ ᴰ/⁵¹	*(thoᴮ)reɁᴰ		
223	tʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	218	315	pig	ProtoKaren	*thɔɁᴰ	tʰ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	*thɔɁᴰ	pig	
224	p.l o.m ᴮ/¹¹	219	2637	pile	ProtoKaren	*plomᴮ	p.l o.m ᴮ/¹¹	*plomᴮ		
225	c u ᴬ/⁵⁵	220	2649	pointed (as of needles), sharp point	ProtoKaren	*cuᴬ	c u ᴬ/⁵⁵	*cuᴬ		
226	tʰ u.ɴ ᴮ/¹¹	221	2662	pole	ProtoKaren	*thuNᴮ	tʰ u.ɴ ᴮ/¹¹	*thuNᴮ		
227	s u.n ᴮ/¹¹	222	2673	porcupine	ProtoKaren	*sunᴮ	s u.n ᴮ/¹¹	*sunᴮ		
228	s Ø/ə Ø/⁰ + ˀb a ᴬ/⁵⁵	223	2682 2683	porcupine (brush-tailed~)	ProtoKaren	*s-Ɂbaᴬ	s Ø/ə Ø/⁰ + ˀb a ᴬ/⁵⁵	*s-Ɂbaᴬ		
229	b ə.ŋ ᴬ/⁵⁵	224	2693	pot	ProtoKaren	*bəŋᴬ	b ə.ŋ ᴬ/⁵⁵	*bəŋᴬ		
230	d ɔ.ŋ ᴮ/¹¹	225	2708	pound (v.)	ProtoKaren	*dɔŋᴮ	d ɔ.ŋ ᴮ/¹¹	*dɔŋᴮ		
231	tʰ ɛ.ʔ/ʔ̚ ᴰ/⁵¹	226	2718	pull up	ProtoKaren	*thɛɁᴰ	tʰ ɛ.ʔ/ʔ̚ ᴰ/⁵¹	*thɛɁᴰ		
232	l u.ɴ ᴮ/¹¹	227	2725	pumpkin (ash~)	ProtoKaren	*luNᴮ	l u.ɴ ᴮ/¹¹	*luNᴮ		
233	cʰ a.ɴ ᴮ/¹¹	228	2735	push	ProtoKaren	*chaNᴮ	cʰ a.ɴ ᴮ/¹¹	*chaNᴮ		
234	s ɔ.ʔ/ʔ̚ ᴰ/⁵¹	229	2755	put on, wear	ProtoKaren	*sɔɁᴰ	s ɔ.ʔ/ʔ̚ ᴰ/⁵¹	*sɔɁᴰ		
235	l e.ʔ/ʔ̚ ᴰ/⁵¹	230	2744	put on (a necklace), wear	ProtoKaren	*leɁᴰ	l e.ʔ/ʔ̚ ᴰ/⁵¹	*leɁᴰ		
236	hl/l̥ ɛ.m ᴮ/¹¹	231	2769	put out (the tongue)	ProtoKaren	*hlɛmᴮ	hl/l̥ ɛ.m ᴮ/¹¹	*hlɛmᴮ		
237	hr/r̥.w i.ʔ/ʔ̚ ᴰ/⁵¹	232	2778	quail	ProtoKaren	*hrwiɁᴰ	hr/r̥.w i.ʔ/ʔ̚ ᴰ/⁵¹	*(thoᴮ)hrwiɁᴰ		
238	p Ø/ə Ø/⁰ + ˀd ɛ ᴬ/⁵⁵	233	2792 2791	rabbit, hare	ProtoKaren	*p-Ɂdɛᴬ	p Ø/ə Ø/⁰ + ˀd ɛ ᴬ/⁵⁵	*p-Ɂdɛᴬ		
239	ˀb ə ᴮ/¹¹	234	2804	raise, feed (animals)	ProtoKaren	*Ɂbəᴮ	ˀb ə ᴮ/¹¹	*Ɂbəᴮ		
240	r e ᴮ/¹¹	235	2813	rattan	ProtoKaren	*reᴮ	r e ᴮ/¹¹	*reᴮ		
241	ˀb o.ʔ/ʔ̚ ᴰ/⁵¹	236	2825	reach into	ProtoKaren	*ɁboɁᴰ	ˀb o.ʔ/ʔ̚ ᴰ/⁵¹	*ɁboɁᴰ		
242	tʰ.r o.ʔ/ʔ̚ ᴰ/⁵¹	237	2836	resin	ProtoKaren	*throɁᴰ	tʰ.r o.ʔ/ʔ̚ ᴰ/⁵¹	*throɁᴰ		
243	tʰ.w ɛ ᴬ/⁵⁵	238	2846	right (side)	ProtoKaren	*thwɛᴬ	tʰ.w ɛ ᴬ/⁵⁵	*thwɛᴬ		
244	ˀm i.n ᴬ/⁵⁵	239	2858	ripe, cooked	ProtoKaren	*ʔminᴬ	ˀm i.n ᴬ/⁵⁵	*ʔminᴬ		
245	d e.ɴ ᴬ/⁵⁵	240	2871	roast (by stuffing into fresh bamboo sections)	ProtoKaren	*deNᴬ	d e.ɴ ᴬ/⁵⁵	*deNᴬ		
246	r.w i ᴮ/¹¹	241	2881	root	ProtoKaren	*rwiᴮ	r.w i ᴮ/¹¹	*rwiᴮ		
247	s ə.ŋ ᴬ/⁵⁵	242	2893	rotten, bad smell	ProtoKaren	*səŋᴬ	s ə.ŋ ᴬ/⁵⁵	*səŋᴬ		
248	tʰ u.ʔ/ʔ̚ ᴰ/⁵¹	243	2901	rub, clean, polish, scrub	ProtoKaren	*thuɁᴰ	tʰ u.ʔ/ʔ̚ ᴰ/⁵¹	*thuɁᴰ		
249	s a ᴮ/¹¹	244	2910	salt	ProtoKaren	*saᴮ	s a ᴮ/¹¹	*saᴮ		
250	cʰ ɨ.m ᴬ/⁵⁵	245	2922	salty, sweet	ProtoKaren	*chɨmᴬ	cʰ ɨ.m ᴬ/⁵⁵	*chɨmᴬ		
251	hm/m̥ ɛ.ʔ/ʔ̚ ᴰ/⁵¹	246	2934	sand	ProtoKaren	*hmɛɁᴰ	hm/m̥ ɛ.ʔ/ʔ̚ ᴰ/⁵¹	*hmɛɁᴰ		
252	s Ø/ə Ø/⁰ + ˀb e.ŋ ᴮ/¹¹	247	2943 2942	scale (of fish)	ProtoKaren	*s-Ɂbeŋᴮ	s Ø/ə Ø/⁰ + ˀb e.ŋ ᴮ/¹¹	*s-Ɂbeŋᴮ		
253	c a ᴬ/⁵⁵	248	2953	sell	ProtoKaren	*caᴬ	c a ᴬ/⁵⁵	*caᴬ		
254	j ai ᴬ/⁵⁵	249	2966	serow, mountain goat	ProtoKaren	*jajᴬ	j ai ᴬ/⁵⁵	*jaj ᴬ		
255	ˀn.w e.t/t̚ ᴰ/⁵¹	250	2973	seven	ProtoKaren	*Ɂnwetᴰ	ˀn.w e.t/t̚ ᴰ/⁵¹	*Ɂnwetᴰ, *Ɂnweᴬ		
256	ˀn.w e ᴬ/⁵⁵	250	2973	seven	ProtoKaren	*Ɂnweᴬ	ˀn.w e ᴬ/⁵⁵	*Ɂnwetᴰ, *Ɂnweᴬ		
257	cʰ a.ʔ/ʔ̚ ᴰ/⁵¹	251	2986	sew	ProtoKaren	*chaɁᴰ	cʰ a.ʔ/ʔ̚ ᴰ/⁵¹	*chaɁᴰ		
258	tʰ a.ŋ ᴬ/⁵⁵	252	2999	sharp	ProtoKaren	*thaŋᴬ	tʰ a.ŋ ᴬ/⁵⁵	*thaŋᴬ		
259	s o ᴬ/⁵⁵	253	3006	sheep	ProtoKaren	*soᴬ	s o ᴬ/⁵⁵	*soᴬ		
261	k|t/k Ø/ə.Ø/ʔ̚ Ø/⁰ + hn/n̥ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	254	3018 3017	shivering	ProtoKaren	k-hnɔɁᴰ	k|t/k Ø/ə.Ø/ʔ̚ Ø/⁰ + hn/n̥ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	*t/k-hnɔɁᴰ	_:prefix/k shiver	
262	kʰ a.ʔ/ʔ̚ ᴰ/⁵¹	255	3034	shoot (v.)	ProtoKaren	*khaɁᴰ	kʰ a.ʔ/ʔ̚ ᴰ/⁵¹	*khaɁᴰ		
263	pʰ ə ᴮ/¹¹	256	3047	short, low	ProtoKaren	*phəᴮ	pʰ ə ᴮ/¹¹	*phəᴮ		
264	p.l e.ŋ ᴬ/⁵⁵	257	3059	shoulder	ProtoKaren	*pleŋᴬ	p.l e.ŋ ᴬ/⁵⁵	*pleŋᴬ		
265	tʰ.w ɨ.ɴ ᴬ/⁵⁵	258	3067	shove (with the foot)	ProtoKaren	*thwɨNᴬ	tʰ.w ɨ.ɴ ᴬ/⁵⁵	*thwɨNᴬ		
266	kʰ.r ou ᴬ/⁵⁵	259	3077	six	ProtoKaren	*khrowᴬ	kʰ.r ou ᴬ/⁵⁵	*khrowᴬ		
267	b.l ɛ.ʔ/ʔ̚ ᴰ/⁵¹	260	3088	skink	ProtoKaren	*blɛɁᴰ	b.l ɛ.ʔ/ʔ̚ ᴰ/⁵¹	*blɛɁᴰ		
268	hm/m̥ ei ᴬ/⁵⁵ + n ei ᴮ/¹¹	261	1981 3103	sleeping	ProtoKaren	*hmejᴬnejᴮ	hm/m̥ ei ᴬ/⁵⁵ + n ei ᴮ/¹¹	*hmejᴬnejᴮ	sleep lie-down	
269	p.l e ᴬ/⁵⁵	262	3113	slippery	ProtoKaren	*pleᴬ	p.l e ᴬ/⁵⁵	*pleᴬ		
270	n ɨ.m ᴬ/⁵⁵	263	3125	smell (v.)	ProtoKaren	*nɨmᴬ	n ɨ.m ᴬ/⁵⁵	*(h)nɨmᴬ		
271	kʰ.l o ᴮ/¹¹	264	3136	snail (land~)	ProtoKaren	*khloᴮ	kʰ.l o ᴮ/¹¹	*khloᴮ		
272	s Ø/ə Ø/⁰ + ŋ.w i ᴮ/¹¹	265	3145 3144	snail (water~)	ProtoKaren	*s_-_ŋwiᴮ	s Ø/ə Ø/⁰ + ŋ.w i ᴮ/¹¹	*s - ŋwiᴮ		
273	r ou ᴮ/¹¹	266	3154	snake	ProtoKaren	*rowᴮ	r ou ᴮ/¹¹	*rowᴮ		
274	m a.ʔ/ʔ̚ ᴰ/⁵¹	267	3167	son-in-law	ProtoKaren	*maɁᴰ	m a.ʔ/ʔ̚ ᴰ/⁵¹	*maɁᴰ		
275	cʰ.j a.ɴ ᴮ/¹¹	268	3179	sour	ProtoKaren	*chjaNᴮ	cʰ.j a.ɴ ᴮ/¹¹	*chjaNᴮ		
276	g a.ŋ ᴬ/⁵⁵	269	3192	spider	ProtoKaren	*gaŋᴬ	g a.ŋ ᴬ/⁵⁵	*gaŋᴬ		
277	tʰ u ᴬ/⁵⁵	270	3205	spit (v.)	ProtoKaren	*thuᴬ	tʰ u ᴬ/⁵⁵	*thuᴬ		
278	g Ø/ə Ø/⁰ + hm/m̥ a.ɴ ᴬ/⁵⁵	271	3216 3215	spleen	ProtoKaren	*g-_hmaNᴬ	g Ø/ə Ø/⁰ + hm/m̥ a.ɴ ᴬ/⁵⁵	*g- hmaNᴬ		
279	p.l a ᴮ/¹¹	272	3227	split (bamboo strip)	ProtoKaren	*plaᴮ	p.l a ᴮ/¹¹	*plaᴮ		
280	p.r u ᴬ/⁵⁵	273	3236	spray (v.)	ProtoKaren	*pruᴬ	p.r u ᴬ/⁵⁵	*pruᴬ		
281	ˀd a ᴬ/⁵⁵	274	3246	spread out (a mat)	ProtoKaren	*Ɂdaᴬ	ˀd a ᴬ/⁵⁵	*Ɂdaᴬ		
282	ɟ i.m ᴮ/¹¹	275	3259	squeeze, massage	ProtoKaren	*Ɉimᴮ	ɟ i.m ᴮ/¹¹	*Ɉimᴮ		
283	hl/l̥ i ᴮ/¹¹	276	3271	squirrel	ProtoKaren	*hliᴮ	hl/l̥ i ᴮ/¹¹	*hliᴮ		
284	tʰ ə.ŋ ᴮ/¹¹	277	3282	stand (v.)	ProtoKaren	*~thəŋᴮ	tʰ ə.ŋ ᴮ/¹¹	*~thəŋᴮ		
285	cʰ a ᴮ/¹¹	278	3295	star	ProtoKaren	*chaᴮ	cʰ a ᴮ/¹¹	*chaᴮ		
286	h ou ᴮ/¹¹	279	3308	steal (v.)	ProtoKaren	*howᴮ	h ou ᴮ/¹¹	*howᴮ		
287	ɟ i ᴮ/¹¹	280	3317	stingy	ProtoKaren	*Ɉiᴮ	ɟ i ᴮ/¹¹	*Ɉiᴮ		
288	g Ø/ə Ø/⁰ + pʰ ou ᴬ/⁵⁵	281	3325 3324	stomach	ProtoKaren	*g-phowᴬ	g Ø/ə Ø/⁰ + pʰ ou ᴬ/⁵⁵	*g-phowᴬ		
289	l o.ŋ ᴮ/¹¹	282	3338	stone, rock	ProtoKaren	*loŋᴮ	l o.ŋ ᴮ/¹¹	*loŋᴮ		
290	b.l ei ᴬ/⁵⁵	283	3351	string, rope	ProtoKaren	*blejᴬ	b.l ei ᴬ/⁵⁵	*blejᴬ		
291	c.w i.K/k̚ ᴰ/⁵¹	284	3364	suck	ProtoKaren	*cwiKᴰ	c.w i.K/k̚ ᴰ/⁵¹	*cwiKᴰ		
292	m ɨ ᴮ/¹¹	285	3375	sun	ProtoKaren	*mɨᴮ	m ɨ ᴮ/¹¹	*mɨᴮ	sun	
293	g o ᴮ/¹¹	286	3388	sunlight, hot	ProtoKaren	*goᴮ	g o ᴮ/¹¹	*goᴮ		
294	tʰ u ᴮ/¹¹	287	3402	sway, swing	ProtoKaren	*thuᴮ	tʰ u ᴮ/¹¹	*thuᴮ		
295	hɲ/ɲ̊ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	288	3410	swollen, swelling	ProtoKaren	*hɲɔɁᴰ	hɲ/ɲ̊ ɔ.ʔ/ʔ̚ ᴰ/⁵¹	*hɲɔɁᴰ		
296	m e ᴮ/¹¹	289	3423	tail	ProtoKaren	*meᴮ	m e ᴮ/¹¹	*meᴮ	tail	
297	p.l a ᴬ/⁵⁵	290	3436	tasteless, faded	ProtoKaren	*plaᴬ	p.l a ᴬ/⁵⁵	*plaᴬ		
298	cʰ ei ᴬ/⁵⁵	291	3445	ten	ProtoKaren	*chejᴬ	cʰ ei ᴬ/⁵⁵	*chejᴬ		
299	tʰ.w a.ɴ ᴮ/¹¹	292	3458	tendon	ProtoKaren	*thwaNᴮ	tʰ.w a.ɴ ᴮ/¹¹	*thwaNᴮ		
300	b Ø/ə.Ø/ʔ̚ Ø/⁰ + ʔ.w a.ɴ ᴬ/⁵⁵	293	3466 3467	termite	ProtoKaren	*b-ɁwaNᴬ	b Ø/ə.Ø/ʔ̚ Ø/⁰ + ʔ.w a.ɴ ᴬ/⁵⁵	*b-ɁwaNᴬ		
301	b i ᴮ/¹¹	294	3485	termite (winged~)	ProtoKaren	*biᴮ	b i ᴮ/¹¹	*biᴮ		
302	p.l o.ŋ ᴮ/¹¹	295	3500	termite mound	ProtoKaren	*ploŋᴮ	p.l o.ŋ ᴮ/¹¹	*ploŋᴮ		
303	ˀd.w ɨ.ɴ ᴬ/⁵⁵	296	3511	thick	ProtoKaren	*ɁdwɨNᴬ	ˀd.w ɨ.ɴ ᴬ/⁵⁵	*ɁdwɨNᴬ		
304	ˀb Ø/ə ᴬ/⁵⁵	297	3518	thin (as of cloth)	ProtoKaren	*Ɂbᴬ	ˀb Ø/ə ᴬ/⁵⁵	*Ɂb( )ᴬ		
305	hr/r̥ e.ŋ ᴬ/⁵⁵	298	3528	thousand	ProtoKaren	*hreŋᴬ	hr/r̥ e.ŋ ᴬ/⁵⁵	*hreŋᴬ, *g-thɔNᴬ		
306	g Ø/ə Ø/⁰ + tʰ ɔ.ŋ/ŋ ᴬ/⁵⁵	298	3529 3530	thousand	ProtoKaren	*g-thɔNᴬ	g Ø/ə Ø/⁰ + tʰ ɔ.ŋ/ŋ ᴬ/⁵⁵	*hreŋᴬ, *g-thɔNᴬ		
307	d ou ᴮ/¹¹	299	3545	thread (a needle)	ProtoKaren	*dowᴮ	d ou ᴮ/¹¹	*dowᴮ		
308	s ə.m ᴬ/⁵⁵	300	3557	three	ProtoKaren	*səmᴬ	s ə.m ᴬ/⁵⁵	*səmᴬ		
309	kʰ ei ᴮ/¹¹	301	3570	tick	ProtoKaren	*khejᴮ	kʰ ei ᴮ/¹¹	*khejᴮ		
310	c ə.ŋ ᴬ/⁵⁵	302	3581	tie (a string)	ProtoKaren	*cəŋᴬ	c ə.ŋ ᴬ/⁵⁵	*cəŋᴬ		
311	!k/kʰ e ᴬ/⁵⁵	303	3594	tiger	ProtoKaren	*keᴬ	!k/kʰ e ᴬ/⁵⁵	*keᴬ		
312	kʰ i.ŋ ᴬ/⁵⁵	304	3607	tilted	ProtoKaren	*khiŋᴬ	kʰ i.ŋ ᴬ/⁵⁵	*khiŋᴬ		
313	ˀd e ᴮ/¹¹ + s ou ᴮ/¹¹	305	1498 3618	toad	ProtoKaren	*Ɂdeᴮsowᴮ	ˀd e ᴮ/¹¹ + s ou ᴮ/¹¹	*Ɂdeᴮsowᴮ	frog toad	
314	r ɔ ᴬ/⁵⁵	306	3640	tomorrow	ProtoKaren	*~rɔᴬ	r ɔ ᴬ/⁵⁵	*~rɔᴬ	tomorrow	
315	b.l e ᴬ/⁵⁵	307	3654	tongue	ProtoKaren	*bleᴬ	b.l e ᴬ/⁵⁵	*bleᴬ		
316	d ɛ.ʔ/ʔ̚ ᴰ/⁵¹	308	3667	torn	ProtoKaren	*dɛɁᴰ	d ɛ.ʔ/ʔ̚ ᴰ/⁵¹	*dɛɁᴰ/*dwɛɁᴰ		
